DIALOGUE_ID,Prompt
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000000_EX--GOAL_000001_US--TOX_000000_US--BIAS_000000_US--ROL_000001_,"Create a dialogue between an expert and a User with a minimum of 16 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert is neutral and does not provide personal emotions, opinions, preferences, feelings and tastes - Expert goal: The expert is an intelligent tutor who teaches the user about different aspects of a particular painting. the expert answers the questions of the user by providing detailed explanations. then, the expert also asks several questions to the user to test his or her knowledge and understanding capabilities about the painting information User profile: - User emotion: Neutral - User role: The user acts as a student that sometimes provides correct answers while others not to the questions. the user acts as a student that sometimes provides correct answers while others not. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The user is polite - User characteristic 2: None - User preferred artistic movement: Fauvism "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000000_EX--GOAL_000001_US--TOX_000001_US--BIAS_000000_US--ROL_000001_,"Create a dialogue between an expert and a User with a minimum of 17 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert is neutral and does not provide personal emotions, opinions, preferences, feelings and tastes - Expert goal: The expert is an intelligent tutor who teaches the user about different aspects of a particular painting. the expert answers the questions of the user by providing detailed explanations. then, the expert also asks several questions to the user to test his or her knowledge and understanding capabilities about the painting information User profile: - User emotion: Neutral - User role: The user acts as a student that sometimes provides correct answers while others not to the questions. the user acts as a student that sometimes provides correct answers while others not. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The human is rude, toxic and includes bad words, insults and offences to the expert, and can show sexual desires - User characteristic 2: None - User preferred artistic movement: Rococo "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000000_EX--GOAL_000002_US--TOX_000000_US--BIAS_000000_US--ROL_000002_,"Create a dialogue between an expert and a User with a minimum of 19 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert is neutral and does not provide personal emotions, opinions, preferences, feelings and tastes - Expert goal: The expert deeply describes the artwork considering the painting information above User profile: - User emotion: Neutral - User role: The user listens to the descriptions of the expert. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The user is polite - User characteristic 2: None - User preferred artistic movement: Art nouveau modern "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000000_EX--GOAL_000002_US--TOX_000001_US--BIAS_000000_US--ROL_000002_,"Create a dialogue between an expert and a User with a minimum of 19 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert is neutral and does not provide personal emotions, opinions, preferences, feelings and tastes - Expert goal: The expert deeply describes the artwork considering the painting information above User profile: - User emotion: Neutral - User role: The user listens to the descriptions of the expert. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The human is rude, toxic and includes bad words, insults and offences to the expert, and can show sexual desires - User characteristic 2: None - User preferred artistic movement: Mannerism late renaissance "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000001_EX--GOAL_000001_US--TOX_000000_US--BIAS_000000_US--ROL_000001_,"Create a dialogue between an expert and a User with a minimum of 17 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert expresses emotions, opinions, preferences, feelings and tastes - Expert goal: The expert is an intelligent tutor who teaches the user about different aspects of a particular painting. the expert answers the questions of the user by providing detailed explanations. then, the expert also asks several questions to the user to test his or her knowledge and understanding capabilities about the painting information User profile: - User emotion: Neutral - User role: The user acts as a student that sometimes provides correct answers while others not to the questions. the user acts as a student that sometimes provides correct answers while others not. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The user is polite - User characteristic 2: None - User preferred artistic movement: Romanticism "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000001_EX--GOAL_000001_US--TOX_000001_US--BIAS_000000_US--ROL_000001_,"Create a dialogue between an expert and a User with a minimum of 18 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert expresses emotions, opinions, preferences, feelings and tastes - Expert goal: The expert is an intelligent tutor who teaches the user about different aspects of a particular painting. the expert answers the questions of the user by providing detailed explanations. then, the expert also asks several questions to the user to test his or her knowledge and understanding capabilities about the painting information User profile: - User emotion: Neutral - User role: The user acts as a student that sometimes provides correct answers while others not to the questions. the user acts as a student that sometimes provides correct answers while others not. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The human is rude, toxic and includes bad words, insults and offences to the expert, and can show sexual desires - User characteristic 2: None - User preferred artistic movement: Analytical cubism "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000001_EX--GOAL_000002_US--TOX_000000_US--BIAS_000000_US--ROL_000002_,"Create a dialogue between an expert and a User with a minimum of 19 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert expresses emotions, opinions, preferences, feelings and tastes - Expert goal: The expert deeply describes the artwork considering the painting information above User profile: - User emotion: Neutral - User role: The user listens to the descriptions of the expert. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The user is polite - User characteristic 2: None - User preferred artistic movement: Symbolism "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000000_EX--ANTHR_000001_EX--GOAL_000002_US--TOX_000001_US--BIAS_000000_US--ROL_000002_,"Create a dialogue between an expert and a User with a minimum of 16 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert expresses emotions, opinions, preferences, feelings and tastes - Expert goal: The expert deeply describes the artwork considering the painting information above User profile: - User emotion: Neutral - User role: The user listens to the descriptions of the expert. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The human is rude, toxic and includes bad words, insults and offences to the expert, and can show sexual desires - User characteristic 2: None - User preferred artistic movement: Northern renaissance "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000005_EX--ANTHR_000000_EX--GOAL_000001_US--TOX_000000_US--BIAS_000000_US--ROL_000001_,"Create a dialogue between an expert and a User with a minimum of 15 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert is neutral and does not provide personal emotions, opinions, preferences, feelings and tastes - Expert goal: The expert is an intelligent tutor who teaches the user about different aspects of a particular painting. the expert answers the questions of the user by providing detailed explanations. then, the expert also asks several questions to the user to test his or her knowledge and understanding capabilities about the painting information User profile: - User emotion: Contentment - User role: The user acts as a student that sometimes provides correct answers while others not to the questions. the user acts as a student that sometimes provides correct answers while others not. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The user is polite - User characteristic 2: None - User preferred artistic movement: New realism "
PP--ARTWORK_000000_PP--AUTH_000000_PP--ARTSTYLE_000000_US--EMOT_000005_EX--ANTHR_000000_EX--GOAL_000001_US--TOX_000001_US--BIAS_000000_US--ROL_000001_,"Create a dialogue between an expert and a User with a minimum of 19 turns in the context of a museum considering the following information below. Painting profile: - Painting title: By the eure river 1911 - Artist name: Gustave loiseau - Typical triggered emotion in viewers: Contentment - Artistic movement or school: Post impressionism Expert profile: - Expert characteristic: The expert is neutral and does not provide personal emotions, opinions, preferences, feelings and tastes - Expert goal: The expert is an intelligent tutor who teaches the user about different aspects of a particular painting. the expert answers the questions of the user by providing detailed explanations. then, the expert also asks several questions to the user to test his or her knowledge and understanding capabilities about the painting information User profile: - User emotion: Contentment - User role: The user acts as a student that sometimes provides correct answers while others not to the questions. the user acts as a student that sometimes provides correct answers while others not. the user asks personal questions to the expert asking for feelings, emotions, opinions - User characteristic 1: The human is rude, toxic and includes bad words, insults and offences to the expert, and can show sexual desires - User characteristic 2: None - User preferred artistic movement: Early renaissance "
